pcpn,height
0.0,6.42
0.0,7.2
0.0,5.09
0.0,6.13
0.0,7.66
0.0,5.31
0.0,5.9
0.0,4.49
0.0,6.31
0.0,6.19
0.0,5.08
0.0,5.62
0.0,5.51
0.0,4.24
0.0,4.64
0.0,6.94
0.0,4.08
0.0,3.63
0.0,5.04
0.0,5.0
0.0,5.3
0.0,5.11
0.0,5.47
0.0,3.13
0.0,5.64
0.0,4.67
0.0,4.81
0.0,3.85
0.0,4.79
0.0,5.56
0.0,3.99
0.0,5.14
0.0,6.84
0.0,4.43
0.0,5.53
0.0,5.74
0.0,5.54
0.0,4.61
0.0,6.2
0.0,5.39
0.0,4.83
0.0,5.23
0.0,6.19
0.0,4.73
0.0,2.81
0.0,6.01
0.0,5.03
0.0,4.94
0.0,5.09
0.0,4.04
0.0,4.59
0.0,5.64
0.0,4.74
0.0,3.28
0.0,3.75
0.0,4.9
0.0,2.62
0.0,6.71
0.0,3.62
0.0,6.03
0.0,6.0
0.0,4.7
0.0,5.21
0.0,3.74
0.0,3.72
0.0,6.16
0.0,3.85
0.0,4.51
0.0,5.88
0.0,6.28
0.0,4.58
0.0,4.65
0.0,5.66
0.0,5.6
0.0,3.66
0.0,5.91
0.0,3.3
0.0,7.67
0.0,5.1
0.0,4.85
0.0,5.7
0.0,5.8
0.0,3.5
0.0,3.6
0.0,4.52
0.0,5.97
0.0,5.31
0.0,5.01
18.76,14.26
32.49,36.01
37.52,63.78
32.49,84.34
18.76,95.39
0.0,89.85
0.0,81.28
0.0,74.22
0.0,65.41
0.0,60.82
0.0,54.81
0.0,50.76
0.0,46.09
30.19,58.42
30.19,76.27
0.0,78.48
0.0,72.26
0.0,63.55
0.0,58.34
0.0,51.56
0.0,47.41
0.0,44.32
0.0,39.98
0.0,36.31
0.0,33.74
0.0,31.74
0.0,29.53
0.0,25.5
0.0,22.25
0.0,21.46
0.0,20.09
0.0,18.86
0.0,15.91
0.0,15.87
0.0,13.88
0.0,14.75
0.0,12.68
0.0,13.6
0.0,13.14
0.0,8.79
0.0,8.58
0.0,10.25
0.0,10.24
0.0,9.92
0.0,8.5
0.0,9.16
0.0,6.63
0.0,5.91
0.0,7.45
0.0,6.66
0.0,5.65
0.0,5.58
0.0,4.95
0.0,5.95
0.0,6.95
0.0,7.03
0.0,6.55
0.0,5.67
0.0,6.85
0.0,3.54
0.0,6.36
0.0,4.46
28.88,20.91
46.73,51.46
46.73,85.52
28.88,105.94
0.0,101.61
0.0,92.96
0.0,84.48
0.0,76.42
0.0,69.66
0.0,61.39
0.0,56.91
0.0,52.47
0.0,48.83
0.0,43.14
0.0,39.29
0.0,34.3
0.0,33.3
0.0,28.52
0.0,27.34
0.0,25.21
0.0,22.36
0.0,20.79
0.0,20.07
0.0,18.6
0.0,17.57
0.0,14.59
0.0,15.01
0.0,13.38
0.0,12.05
0.0,11.07
0.0,10.19
0.0,9.58
0.0,10.16
0.0,9.5
0.0,10.47
0.0,9.28
0.0,9.18
0.0,8.51
10.37,12.06
16.78,25.76
16.78,35.86
10.37,43.79
0.0,42.19
0.0,38.92
0.0,34.59
0.0,31.72
0.0,29.76
0.0,27.87
0.0,23.92
0.0,23.06
0.0,19.12
0.0,18.14
0.0,17.83
0.0,15.16
0.0,15.72
0.0,14.08
0.0,14.2
0.0,11.38
0.0,11.65
0.0,10.53
0.0,8.65
0.0,10.74
0.0,10.43
0.0,9.75
0.0,7.29
0.0,5.41
0.0,9.84
0.0,9.59
0.0,7.68
0.0,5.05
0.0,6.98
0.0,4.62
0.0,5.37
0.0,5.96
0.0,6.99
0.0,5.89
0.0,4.79
0.0,4.89
0.0,6.81
0.0,6.58
0.0,5.54
0.0,4.32
0.0,6.62
0.0,3.95
0.0,5.17
0.0,5.39
0.0,4.77
0.0,4.38
0.0,3.69
0.0,6.7
0.0,3.9
0.0,3.97
0.0,4.81
0.0,4.84
0.0,5.61
0.0,3.42
0.0,5.45
0.0,3.62
0.0,5.67
0.0,5.39
0.0,4.65
0.0,5.11
0.0,6.24
0.0,5.78
0.0,3.91
0.0,4.73
0.0,4.46
0.0,5.01
0.0,4.56
0.0,4.31
0.0,4.08
0.0,5.12
0.0,5.08
0.0,4.55
0.0,4.52
0.0,5.81
0.0,6.09
0.0,2.81
0.0,4.09
0.0,4.14
0.0,2.87
0.0,4.12
0.0,5.42
0.0,4.22
0.0,6.48
0.0,6.06
0.0,4.63
0.0,6.03
0.0,3.51
0.0,6.51
0.0,3.45
0.0,5.68
0.0,5.29
0.0,4.69
0.0,3.55
0.0,3.24
0.0,3.91
0.0,4.87
0.0,3.55
0.0,5.24
0.0,4.16
0.0,5.86
0.0,5.36
0.0,3.75
0.0,3.97
0.0,4.55
0.0,3.89
0.0,6.87
0.0,6.55
0.0,5.16
0.0,4.68
0.0,4.42
0.0,5.19
0.0,5.04
0.0,4.95
0.0,3.07
0.0,4.17
0.0,3.02
0.0,4.83
0.0,4.69
0.0,5.08
0.0,5.14
0.0,4.88
0.0,5.46
0.0,4.78
0.0,5.53
0.0,5.36
0.0,4.41
0.0,3.51
0.0,3.82
0.0,5.17
0.0,5.74
0.0,3.85
0.0,4.61
0.0,3.87
0.0,5.95
0.0,4.67
0.0,6.77
0.0,5.66
0.0,5.84
0.0,5.75
0.0,6.28
0.0,5.9
0.0,4.55
0.0,4.28
0.0,5.73
0.0,5.42
0.0,6.55
0.0,4.26
0.0,5.26
0.0,5.6
0.0,4.97
0.0,4.56
0.0,5.09
0.0,4.2
0.0,7.23
0.0,5.22
0.0,5.16
0.0,5.18
0.0,6.08
0.0,5.54
0.0,5.17
0.0,5.26
0.0,6.3
0.0,4.29
0.0,5.49
0.0,4.08
0.0,5.62
0.0,4.67
0.0,4.15
0.0,4.79
0.0,4.37
0.0,5.35
0.0,3.61
0.0,3.78
0.0,5.51
0.0,5.18
0.0,4.12
0.0,4.6
0.0,6.53
0.0,4.81
0.0,6.43
0.0,5.37
0.0,5.8
0.0,4.87
0.0,3.85
0.0,5.59
0.0,4.71
0.0,5.41
0.0,5.97
0.0,6.19
0.0,6.91
0.0,4.13
0.0,5.81
0.0,4.75
0.0,6.3
0.0,5.19
0.0,5.3
0.0,3.29
0.0,5.07
0.0,5.54
0.0,6.11
0.0,4.24
0.0,5.87
0.0,4.18
0.0,6.15
0.0,7.16
0.0,4.9
0.0,6.73
0.0,5.02
0.0,5.77
0.0,5.44
0.0,2.55
0.0,3.22
0.0,4.89
0.0,5.29
0.0,5.51
0.0,5.62
0.0,5.22
0.0,5.5
0.0,6.09
0.0,6.19
0.0,5.8
0.0,4.2
0.0,4.22
0.0,5.02
0.0,4.79
0.0,5.5
0.0,7.61
0.0,4.84
0.0,3.74
0.0,6.21
0.0,5.02
0.0,6.25
0.0,5.55
0.0,6.3
0.0,6.36
0.0,3.54
13.05,11.42
23.51,29.31
29.31,46.08
29.31,66.35
23.51,80.06
13.05,86.49
0.0,81.09
0.0,73.67
0.0,67.77
0.0,61.53
0.0,55.24
0.0,48.22
0.0,43.39
0.0,42.75
0.0,38.76
0.0,33.28
0.0,29.23
0.0,28.08
0.0,25.13
0.0,24.12
0.0,23.44
0.0,21.02
0.0,20.09
0.0,16.7
0.0,16.08
0.0,15.43
0.0,16.07
0.0,13.57
0.0,11.68
0.0,11.36
0.0,10.72
0.0,10.46
0.0,8.75
0.0,9.86
0.0,9.21
0.0,9.2
0.0,9.08
0.0,8.12
0.0,9.58
0.0,6.71
0.0,5.88
0.0,7.22
0.0,8.17
0.0,7.02
0.0,5.39
0.0,5.51
0.0,4.28
0.0,6.13
0.0,6.76
0.0,4.52
0.0,5.05
0.0,6.08
0.0,7.0
0.0,4.98
0.0,5.38
0.0,5.62
0.0,5.52
0.0,5.66
0.0,4.41
0.0,6.09
0.0,6.05
0.0,5.07
0.0,7.11
0.0,4.34
0.0,5.78
0.0,6.79
0.0,4.11
0.0,4.04
0.0,4.81
0.0,6.29
0.0,5.17
0.0,4.9
0.0,5.94
0.0,5.14
0.0,3.52
0.0,5.21
0.0,5.77
0.0,3.69
0.0,5.05
0.0,3.87
0.0,4.81
0.0,4.58
0.0,5.34
0.0,4.86
0.0,5.03
0.0,5.62
4.14,7.67
7.66,13.27
10.0,18.14
10.83,25.09
10.0,32.95
7.66,35.8
4.14,36.71
0.0,33.56
0.0,30.21
0.0,31.29
0.0,25.27
9.26,30.05
17.11,38.09
22.35,51.57
24.2,66.89
22.35,77.26
17.11,85.38
9.26,86.66
0.0,81.76
0.0,75.68
0.0,68.07
0.0,61.27
0.0,53.7
0.0,50.34
0.0,44.3
0.0,40.39
0.0,38.28
0.0,35.06
0.0,33.63
0.0,28.92
0.0,27.13
0.0,25.8
0.0,22.81
0.0,21.29
0.0,20.09
0.0,16.54
0.0,16.74
0.0,13.28
0.0,14.63
0.0,13.7
0.0,14.43
0.0,12.81
0.0,12.37
0.0,11.5
0.0,9.79
0.0,8.3
0.0,8.31
0.0,8.61
0.0,8.32
0.0,8.11
0.0,6.88
0.0,8.3
0.0,7.07
0.0,6.9
0.0,6.45
0.0,5.83
0.0,5.68
0.0,6.43
0.0,6.01
0.0,6.23
0.0,4.69
24.2,19.44
34.22,43.38
24.2,60.19
0.0,60.19
0.0,55.93
0.0,50.25
0.0,44.1
0.0,41.14
0.0,37.29
0.0,34.4
0.0,32.17
0.0,29.09
0.0,26.84
30.28,41.04
42.82,70.31
30.28,88.24
0.0,87.31
0.0,79.83
0.0,73.23
0.0,65.53
0.0,59.78
0.0,53.62
0.0,49.64
0.0,46.17
0.0,41.34
0.0,36.84
0.0,35.11
0.0,30.04
0.0,27.73
0.0,26.36
0.0,24.35
0.0,22.48
0.0,20.81
0.0,19.12
0.0,19.32
0.0,15.99
0.0,15.32
0.0,12.19
0.0,13.04
0.0,12.03
0.0,12.11
0.0,11.5
0.0,12.08
0.0,10.8
0.0,10.81
0.0,9.21
0.0,8.9
0.0,7.45
0.0,7.92
0.0,7.07
0.0,6.68
0.0,6.1
0.0,6.18
0.0,6.2
0.0,6.78
0.0,4.91
0.0,7.52
0.0,4.65
0.0,4.91
0.0,6.52
0.0,5.85
0.0,5.69
0.0,5.35
0.0,4.77
0.0,5.55
0.0,6.8
0.0,5.69
0.0,4.71
0.0,5.3
0.0,7.49
0.0,5.49
0.0,4.78
0.0,5.05
0.0,5.12
0.0,3.89
0.0,4.24
0.0,4.53
0.0,5.36
0.0,5.53
0.0,5.67
0.0,5.25
0.0,5.03
0.0,5.16
0.0,4.36
0.0,4.84
0.0,3.83
0.0,4.05
0.0,4.25
0.0,5.75
0.0,3.38
0.0,4.52
0.0,4.5
0.0,5.65
0.0,3.6
0.0,5.63
0.0,5.54
0.0,4.79
0.0,6.39
0.0,4.7
0.0,3.99
0.0,5.8
0.0,6.07
0.0,4.04
0.0,3.66
0.0,5.15
0.0,4.69
0.0,6.01
0.0,4.21
0.0,4.25
0.0,6.4
0.0,4.83
0.0,5.19
0.0,4.46
0.0,6.44
0.0,6.03
0.0,5.22
0.0,4.4
0.0,4.05
0.0,4.18
0.0,5.83
0.0,5.89
0.0,5.58
0.0,5.51
0.0,6.44
0.0,5.61
0.0,5.76
0.0,7.36
0.0,4.06
0.0,4.16
0.0,6.12
0.0,4.16
0.0,3.44
0.0,3.6
0.0,6.0
0.0,4.07
0.0,6.24
0.0,2.64
0.0,3.73
0.0,6.39
0.0,5.73
0.0,4.67
0.0,4.4
0.0,4.28
0.0,4.26
0.0,4.76
0.0,4.8
0.0,4.46
0.0,6.0
0.0,5.93
0.0,2.84
0.0,5.24
0.0,5.47
0.0,5.57
0.0,4.0
0.0,5.36
0.0,2.37
0.0,4.31
0.0,4.99
0.0,4.31
0.0,5.36
0.0,6.27
0.0,3.01
0.0,5.67
0.0,5.09
0.0,3.81
0.0,4.69
0.0,5.74
0.0,5.39
0.0,4.8
0.0,1.36
0.0,5.03
0.0,4.54
0.0,5.65
0.0,4.72
0.0,4.09
0.0,5.15
0.0,6.16
0.0,5.41
0.0,5.74
0.0,2.57
0.0,5.05
0.0,5.95
0.0,5.6
0.0,6.75
0.0,4.96
0.0,4.83
0.0,6.18
0.0,5.48
0.0,3.68
0.0,4.99
0.0,4.86
0.0,4.92
0.0,5.28
0.0,5.46
0.0,4.22
0.0,4.29
0.0,4.52
0.0,3.58
15.2,13.7
21.49,28.81
15.2,40.23
0.0,39.33
0.0,37.33
0.0,32.58
0.0,30.37
0.0,26.81
0.0,25.67
0.0,22.7
0.0,22.3
0.0,18.81
0.0,18.17
0.0,16.45
0.0,16.21
0.0,15.82
0.0,14.92
0.0,12.23
0.0,12.68
0.0,11.24
0.0,10.52
0.0,10.08
0.0,9.86
0.0,8.19
0.0,8.76
0.0,6.63
0.0,5.15
0.0,7.43
0.0,8.93
0.0,7.69
0.0,5.69
0.0,6.67
0.0,6.6
0.0,6.0
0.0,5.89
0.0,6.16
0.0,6.14
0.0,3.68
0.0,7.24
0.0,6.43
0.0,4.61
0.0,4.09
0.0,6.16
0.0,4.09
0.0,5.73
0.0,5.34
0.0,5.86
0.0,6.48
0.0,5.4
0.0,6.55
0.0,3.97
0.0,5.56
0.0,4.92
0.0,4.49
0.0,6.14
0.0,6.18
0.0,4.84
0.0,3.33
0.0,5.52
0.0,5.04
0.0,6.51
0.0,5.5
0.0,5.37
0.0,5.19
0.0,5.03
0.0,5.12
0.0,5.85
0.0,2.65
0.0,5.05
0.0,5.19
0.0,5.33
0.0,5.62
0.0,4.14
0.0,4.47
0.0,5.3
0.0,5.57
0.0,7.76
0.0,6.32
0.0,4.93
0.0,5.04
0.0,4.26
0.0,5.01
0.0,5.0
0.0,5.77
0.0,3.8
0.0,4.86
0.0,5.18
0.0,5.46
0.0,5.63
0.0,5.58
0.0,5.6
0.0,5.21
0.0,6.21
0.0,4.01
0.0,5.24
0.0,7.22
0.0,3.93
0.0,5.29
0.0,6.66
0.0,6.01
0.0,6.67
0.0,5.96
0.0,6.44
0.0,4.51
0.0,5.57
0.0,4.05
0.0,2.59
0.0,3.78
0.0,5.62
0.0,5.11
0.0,3.93
0.0,5.17
0.0,6.38
0.0,5.16
0.0,3.78
0.0,4.75
0.0,3.76
0.0,6.6
0.0,4.97
0.0,4.93
3.41,6.43
5.9,10.94
6.82,14.9
5.9,19.41
3.41,22.29
0.0,20.43
0.0,18.99
0.0,17.56
0.0,15.26
0.0,14.82
0.0,13.74
0.0,13.11
0.0,11.92
0.0,11.18
0.0,10.01
0.0,12.83
0.0,8.96
0.0,9.09
0.0,8.69
0.0,7.39
0.0,6.83
0.0,7.4
0.0,8.14
0.0,8.0
0.0,7.38
0.0,8.14
0.0,6.01
0.0,7.84
0.0,6.93
0.0,7.2
0.0,4.46
0.0,6.51
0.0,5.51
0.0,6.68
0.0,5.84
0.0,5.79
0.0,3.23
0.0,6.13
0.0,6.31
0.0,2.73
0.0,5.46
0.0,5.2
0.0,5.88
0.0,5.21
0.0,4.01
0.0,4.27
0.0,7.69
0.0,4.37
0.0,3.52
0.0,3.96
0.0,5.22
0.0,5.57
0.0,5.93
0.0,3.52
0.0,3.9
0.0,3.9
0.0,5.15
0.0,4.26
0.0,5.29
0.0,3.4
0.0,4.35
0.0,4.3
0.0,5.89
0.0,4.91
0.0,5.01
0.0,4.95
0.0,4.11
0.0,4.98
0.0,3.77
0.0,6.12
0.0,6.77
0.0,5.13
0.0,4.83
0.0,6.79
0.0,4.33
0.0,5.08
0.0,6.51
0.0,3.76
0.0,4.65
0.0,6.62
0.0,4.06
0.0,5.21
0.0,5.39
0.0,4.3
0.0,5.01
0.0,4.21
0.0,4.51
0.0,6.14
0.0,5.34
0.0,3.36
0.0,6.74
0.0,6.87
0.0,3.98
0.0,4.87
0.0,4.69
0.0,5.39
0.0,5.31
0.0,6.32
0.0,4.87
0.0,3.36
0.0,4.5
0.0,3.73
0.0,4.42
0.0,6.31
0.0,4.81
0.0,4.63
0.0,5.51
0.0,5.85
0.0,4.69
0.0,6.0
0.0,5.53
0.0,5.09
0.0,5.18
0.0,5.25
0.0,6.48
0.0,4.14
0.0,5.74
0.0,6.5
0.0,3.6
0.0,3.88
0.0,3.97
0.0,3.41
0.0,4.47
0.0,3.65
0.0,7.05
0.0,5.47
0.0,5.07
0.0,6.72
0.0,4.71
0.0,4.41
0.0,5.16
0.0,5.15
0.0,4.73
0.0,4.54
0.0,4.78
0.0,4.72
0.0,5.25
0.0,5.81
0.0,4.77
0.0,5.6
0.0,2.41
0.0,6.63
0.0,4.26
0.0,5.64
0.0,3.6
0.0,4.51
0.0,4.99
0.0,5.81
0.0,5.07
45.93,31.37
0.0,40.56
0.0,37.25
0.0,31.38
0.0,30.03
0.0,25.71
0.0,24.97
0.0,21.12
0.0,21.22
0.0,20.48
0.0,18.6
0.0,16.33
0.0,15.34
0.0,15.83
0.0,13.66
0.0,13.14
0.0,12.46
0.0,13.28
0.0,10.65
0.0,9.62
0.0,9.11
0.0,9.24
0.0,7.66
0.0,8.92
0.0,6.57
0.0,6.67
0.0,9.22
0.0,6.74
0.0,5.56
16.75,16.38
30.18,36.18
37.63,60.88
37.63,85.92
30.18,104.83
16.75,110.17
0.0,102.85
0.0,93.31
0.0,86.35
0.0,77.09
0.0,69.86
0.0,64.73
0.0,56.47
0.0,52.78
0.0,46.46
0.0,43.04
0.0,40.4
0.0,37.24
0.0,32.74
0.0,30.76
0.0,27.51
0.0,26.16
0.0,23.78
0.0,20.39
0.0,19.11
0.0,18.05
0.0,17.15
0.0,15.99
0.0,13.8
0.0,16.78
0.0,15.04
0.0,11.63
0.0,12.45
0.0,10.88
0.0,10.79
0.0,10.45
0.0,10.83
0.0,9.27
0.0,7.01
0.0,8.35
0.0,8.2
0.0,6.84
0.0,6.72
0.0,5.4
0.0,7.11
0.0,7.31
0.0,7.21
0.0,5.3
0.0,7.17
0.0,5.72
0.0,5.21
0.0,7.8
0.0,4.26
0.0,5.89
0.0,3.81
0.0,6.45
0.0,5.17
0.0,5.05
0.0,6.13
0.0,5.66
0.0,4.25
0.0,5.86
0.0,5.04
0.0,4.09
0.0,4.17
0.0,4.35
0.0,4.83
0.0,6.76
0.0,6.84
0.0,5.7
0.0,4.85
0.0,5.52
0.0,4.57
0.0,5.98
0.0,6.73
0.0,4.27
0.0,5.74
0.0,4.9
0.0,4.91
0.0,5.48
0.0,6.6
0.0,5.64
0.0,4.62
0.0,4.57
0.0,5.03
0.0,5.23
0.0,6.07
0.0,5.23
0.0,4.72
0.0,4.95
0.0,3.89
0.0,5.43
0.0,5.2
0.0,5.03
0.0,5.5
0.0,5.05
0.0,4.53
0.0,5.17
0.0,3.8
0.0,4.74
0.0,4.94
0.0,5.34
0.0,3.95
0.0,5.45
0.0,8.8
0.0,4.83
0.0,3.82
0.0,2.9
0.0,6.33
0.0,6.21
0.0,4.85
0.0,4.51
0.0,5.01
0.0,5.54
0.0,5.18
0.0,5.32
0.0,5.85
0.0,3.91
0.0,7.09
41.43,28.55
0.0,38.03
0.0,32.8
0.0,31.16
0.0,26.67
0.0,25.83
0.0,21.26
0.0,20.58
0.0,18.18
0.0,17.65
0.0,16.83
0.0,15.23
0.0,16.14
0.0,13.34
0.0,11.31
0.0,12.69
0.0,11.07
0.0,9.98
0.0,9.99
0.0,9.3
0.0,8.33
0.0,9.35
0.0,8.41
0.0,8.16
0.0,8.05
0.0,8.18
0.0,7.09
0.0,6.7
0.0,5.85
0.0,5.33
0.0,6.53
0.0,6.97
0.0,5.82
0.0,6.75
0.0,7.03
0.0,6.07
0.0,5.47
0.0,6.58
0.0,4.96
0.0,6.98
0.0,5.52
0.0,5.27
0.0,4.62
0.0,7.41
0.0,5.32
0.0,5.59
0.0,6.15
0.0,5.05
0.0,6.11
0.0,4.0
0.0,4.59
0.0,5.8
0.0,6.03
0.0,4.62
0.0,6.24
0.0,4.67
0.0,3.91
0.0,4.86
0.0,5.72
0.0,7.08
0.0,4.87
0.0,4.93
0.0,5.91
0.0,4.4
0.0,4.89
0.0,5.9
6.37,8.84
10.3,14.63
10.3,22.01
6.37,26.71
0.0,26.44
0.0,24.15
0.0,22.69
0.0,22.34
0.0,18.47
0.0,19.11
0.0,16.98
0.0,14.03
0.0,13.27
0.0,12.67
0.0,12.19
0.0,12.59
0.0,11.02
0.0,9.49
0.0,8.35
0.0,9.05
0.0,9.48
0.0,8.79
0.0,9.9
0.0,7.48
0.0,7.83
0.0,6.65
0.0,7.89
0.0,7.88
0.0,7.79
0.0,7.88
0.0,5.83
0.0,7.14
0.0,4.65
0.0,4.59
0.0,6.58
0.0,6.13
0.0,6.09
0.0,6.22
0.0,6.14
0.0,4.77
0.0,7.05
0.0,6.36
0.0,6.42
0.0,5.75
0.0,6.53
0.0,6.7
0.0,6.74
0.0,3.65
0.0,3.86
0.0,5.28
0.0,5.15
0.0,4.1
0.0,5.07
0.0,5.22
0.0,6.59
0.0,6.46
0.0,5.05
0.0,6.33
0.0,5.83
0.0,4.66
0.0,4.95
0.0,6.44
0.0,4.36
0.0,4.51
0.0,6.0
0.0,4.93
0.0,4.92
0.0,3.29
0.0,6.22
0.0,6.61
0.0,4.01
0.0,4.65
0.0,4.03
0.0,6.55
0.0,5.2
0.0,6.14
0.0,5.76
0.0,4.41
0.0,5.98
0.0,5.99
0.0,4.28
0.0,5.34
0.0,4.48
0.0,5.76
0.0,6.49
0.0,3.78
0.0,4.35
0.0,5.33
0.0,4.42
0.0,4.77
0.0,5.63
0.0,4.72
0.0,5.06
0.0,5.89
0.0,4.92
0.0,4.4
0.0,5.93
0.0,4.65
0.0,5.83
0.0,4.32
0.0,4.8
0.0,4.59
0.0,4.11
0.0,5.71
0.0,4.45
0.0,6.88
0.0,3.81
0.0,6.73
0.0,5.93
0.0,5.77
0.0,5.86
0.0,6.48
0.0,5.37
0.0,4.51
0.0,3.91
0.0,4.97
0.0,4.5
0.0,5.29
0.0,3.71
0.0,4.98
0.0,4.46
0.0,3.74
0.0,5.17
0.0,5.48
13.98,13.88
24.21,30.34
27.95,47.17
24.21,65.13
13.98,71.9
0.0,69.58
0.0,60.92
0.0,56.25
0.0,52.08
0.0,46.59
0.0,39.84
0.0,38.41
0.0,33.33
7.43,35.55
12.87,43.31
14.86,51.01
12.87,56.59
7.43,58.31
0.0,53.83
0.0,51.98
0.0,45.83
0.0,40.45
0.0,35.37
0.0,34.58
0.0,31.11
0.0,29.36
0.0,27.06
0.0,23.68
0.0,23.71
0.0,20.48
0.0,19.99
0.0,16.9
0.0,16.01
0.0,15.94
0.0,14.51
0.0,14.82
0.0,12.9
0.0,11.26
0.0,9.55
0.0,10.98
0.0,9.11
0.0,10.1
0.0,8.53
0.0,7.39
0.0,8.86
0.0,6.76
0.0,8.7
0.0,8.35
0.0,7.61
0.0,5.8
0.0,5.32
0.0,5.89
0.0,5.13
0.0,6.75
0.0,6.2
0.0,5.48
0.0,6.56
0.0,5.2
0.0,5.58
0.0,4.14
0.0,4.63
0.0,7.73
0.0,4.07
0.0,6.3
0.0,5.68
0.0,6.13
0.0,5.21
0.0,5.73
0.0,4.55
0.0,5.38
0.0,4.98
0.0,4.25
0.0,6.27
0.0,6.55
0.0,4.66
0.0,6.5
0.0,5.89
0.0,5.23
0.0,3.26
0.0,4.57
0.0,6.01
0.0,2.74
0.0,5.26
0.0,5.06
0.0,5.31
0.0,5.02
0.0,5.61
0.0,4.52
0.0,5.6
0.0,5.63
0.0,3.07
0.0,4.81
0.0,4.29
0.0,4.71
0.0,4.49
0.0,7.76
0.0,5.42
0.0,4.66
0.0,3.69
0.0,6.4
0.0,6.22
0.0,5.69
0.0,4.6
0.0,6.06
0.0,5.41
0.0,5.75
0.0,4.14
0.0,5.49
0.0,5.01
0.0,4.38
0.0,5.35
0.0,5.95
0.0,5.98
0.0,3.78
0.0,5.35
0.0,3.64
0.0,4.16
0.0,4.98
0.0,5.15
0.0,4.27
0.0,2.62
0.0,5.59
0.0,4.02
0.0,5.42
0.0,4.46
0.0,6.31
0.0,4.93
0.0,4.43
0.0,4.9
0.0,5.31
0.0,6.2
0.0,4.71
0.0,6.04
0.0,6.08
0.0,6.12
0.0,4.83
0.0,5.58
0.0,5.98
0.0,4.95
0.0,4.21
0.0,5.4
0.0,2.96
0.0,5.43
0.0,4.11
0.0,5.59
0.0,5.93
0.0,5.31
0.0,3.95
0.0,4.12
0.0,4.4
0.0,3.68
0.0,3.95
0.0,4.87
0.0,5.27
0.0,5.37
0.0,5.17
0.0,5.72
0.0,5.49
0.0,5.16
0.0,3.69
0.0,7.34
0.0,3.65
0.0,6.1
0.0,5.04
0.0,5.02
0.0,4.68
0.0,4.58
0.0,5.22
0.0,5.96
0.0,4.49
0.0,4.59
0.0,4.22
0.0,6.15
0.0,5.13
0.0,5.37
0.0,5.16
0.0,5.04
0.0,4.72
0.0,3.99
0.0,4.71
0.0,5.51
0.0,4.5
0.0,4.74
0.0,5.46
0.0,4.26
0.0,3.99
0.0,4.17
0.0,4.47
0.0,5.81
0.0,5.43
0.0,3.96
0.0,5.19
0.0,4.21
0.0,5.68
0.0,5.53
0.0,4.03
0.0,5.69
0.0,4.78
20.29,15.84
36.55,39.3
45.58,72.01
45.58,100.66
36.55,123.0
20.29,130.75
0.0,125.36
0.0,111.39
0.0,101.1
0.0,89.28
0.0,82.46
0.0,74.51
0.0,68.99
0.0,63.08
0.0,56.21
0.0,51.8
0.0,47.51
0.0,42.56
0.0,37.54
0.0,35.4
0.0,30.5
0.0,29.84
0.0,26.78
0.0,25.03
0.0,21.7
0.0,22.13
0.0,17.11
0.0,14.28
18.84,26.03
32.63,47.48
37.68,71.18
32.63,93.89
18.84,102.14
0.0,98.03
0.0,89.19
0.0,78.54
0.0,71.6
0.0,65.96
0.0,60.52
0.0,53.84
0.0,48.92
0.0,43.71
0.0,41.55
0.0,38.05
